speaker,gender,age,file,text_len,source,license
SSB0671,female,C,aishell3_SSB0671_SSB06710002,8,AISHELL-3,Apache-2.0
SSB0671,female,C,aishell3_SSB0671_SSB06710251,8,AISHELL-3,Apache-2.0
SSB0671,female,C,aishell3_SSB0671_SSB06710003,9,AISHELL-3,Apache-2.0
SSB0267,female,C,aishell3_SSB0267_SSB02670005,8,AISHELL-3,Apache-2.0
SSB0267,female,C,aishell3_SSB0267_SSB02670192,8,AISHELL-3,Apache-2.0
SSB0267,female,C,aishell3_SSB0267_SSB02670384,8,AISHELL-3,Apache-2.0
SSB1699,female,C,aishell3_SSB1699_SSB16990074,8,AISHELL-3,Apache-2.0
SSB1699,female,C,aishell3_SSB1699_SSB16990388,9,AISHELL-3,Apache-2.0
SSB1699,female,C,aishell3_SSB1699_SSB16990374,10,AISHELL-3,Apache-2.0
SSB0737,female,D,aishell3_SSB0737_SSB07370002,8,AISHELL-3,Apache-2.0
SSB0737,female,D,aishell3_SSB0737_SSB07370335,8,AISHELL-3,Apache-2.0
SSB0737,female,D,aishell3_SSB0737_SSB07370128,9,AISHELL-3,Apache-2.0
SSB0309,female,D,aishell3_SSB0309_SSB03090042,8,AISHELL-3,Apache-2.0
SSB0309,female,D,aishell3_SSB0309_SSB03090044,10,AISHELL-3,Apache-2.0
SSB0309,female,D,aishell3_SSB0309_SSB03090447,10,AISHELL-3,Apache-2.0
SSB0606,female,D,aishell3_SSB0606_SSB06060001,8,AISHELL-3,Apache-2.0
SSB0606,female,D,aishell3_SSB0606_SSB06060063,9,AISHELL-3,Apache-2.0
SSB0606,female,D,aishell3_SSB0606_SSB06060435,9,AISHELL-3,Apache-2.0
SSB0354,female,D,aishell3_SSB0354_SSB03540039,8,AISHELL-3,Apache-2.0
SSB0354,female,D,aishell3_SSB0354_SSB03540423,8,AISHELL-3,Apache-2.0
SSB0354,female,D,aishell3_SSB0354_SSB03540145,9,AISHELL-3,Apache-2.0
SSB0273,male,B,aishell3_SSB0273_SSB02730026,8,AISHELL-3,Apache-2.0
SSB0273,male,B,aishell3_SSB0273_SSB02730152,9,AISHELL-3,Apache-2.0
SSB0273,male,B,aishell3_SSB0273_SSB02730258,10,AISHELL-3,Apache-2.0
SSB1863,male,B,aishell3_SSB1863_SSB18630036,8,AISHELL-3,Apache-2.0
SSB1863,male,B,aishell3_SSB1863_SSB18630410,9,AISHELL-3,Apache-2.0
SSB1863,male,B,aishell3_SSB1863_SSB18630033,11,AISHELL-3,Apache-2.0
SSB0631,male,B,aishell3_SSB0631_SSB06310021,8,AISHELL-3,Apache-2.0
SSB0631,male,B,aishell3_SSB0631_SSB06310146,9,AISHELL-3,Apache-2.0
SSB0631,male,B,aishell3_SSB0631_SSB06310111,10,AISHELL-3,Apache-2.0
SSB0241,male,B,aishell3_SSB0241_SSB02410024,8,AISHELL-3,Apache-2.0
SSB0241,male,B,aishell3_SSB0241_SSB02410432,9,AISHELL-3,Apache-2.0
SSB0241,male,B,aishell3_SSB0241_SSB02410411,10,AISHELL-3,Apache-2.0
SSB0966,male,B,aishell3_SSB0966_SSB09660004,8,AISHELL-3,Apache-2.0
SSB0966,male,B,aishell3_SSB0966_SSB09660277,8,AISHELL-3,Apache-2.0
SSB0966,male,B,aishell3_SSB0966_SSB09660030,9,AISHELL-3,Apache-2.0
SSB0073,male,B,aishell3_SSB0073_SSB00730002,8,AISHELL-3,Apache-2.0
SSB0073,male,B,aishell3_SSB0073_SSB00730426,9,AISHELL-3,Apache-2.0
SSB0073,male,B,aishell3_SSB0073_SSB00730094,11,AISHELL-3,Apache-2.0
SSB0629,male,B,aishell3_SSB0629_SSB06290008,8,AISHELL-3,Apache-2.0
SSB0629,male,B,aishell3_SSB0629_SSB06290352,9,AISHELL-3,Apache-2.0
SSB0629,male,B,aishell3_SSB0629_SSB06290259,10,AISHELL-3,Apache-2.0
SSB0375,male,B,aishell3_SSB0375_SSB03750011,8,AISHELL-3,Apache-2.0
SSB0375,male,B,aishell3_SSB0375_SSB03750335,8,AISHELL-3,Apache-2.0
SSB0375,male,B,aishell3_SSB0375_SSB03750236,9,AISHELL-3,Apache-2.0
SSB1448,male,B,aishell3_SSB1448_SSB14480070,8,AISHELL-3,Apache-2.0
SSB1448,male,B,aishell3_SSB1448_SSB14480370,9,AISHELL-3,Apache-2.0
SSB1448,male,B,aishell3_SSB1448_SSB14480020,11,AISHELL-3,Apache-2.0
SSB0139,male,B,aishell3_SSB0139_SSB01390002,8,AISHELL-3,Apache-2.0
SSB0139,male,B,aishell3_SSB0139_SSB01390290,8,AISHELL-3,Apache-2.0
SSB0139,male,B,aishell3_SSB0139_SSB01390064,9,AISHELL-3,Apache-2.0
SSB1136,male,B,aishell3_SSB1136_SSB11360002,8,AISHELL-3,Apache-2.0
SSB1136,male,B,aishell3_SSB1136_SSB11360128,8,AISHELL-3,Apache-2.0
SSB1136,male,B,aishell3_SSB1136_SSB11360222,8,AISHELL-3,Apache-2.0
SSB0316,male,B,aishell3_SSB0316_SSB03160003,8,AISHELL-3,Apache-2.0
SSB0316,male,B,aishell3_SSB0316_SSB03160353,8,AISHELL-3,Apache-2.0
SSB0316,male,B,aishell3_SSB0316_SSB03160188,9,AISHELL-3,Apache-2.0
SSB1624,male,B,aishell3_SSB1624_SSB16240017,8,AISHELL-3,Apache-2.0
SSB1624,male,B,aishell3_SSB1624_SSB16240311,8,AISHELL-3,Apache-2.0
SSB1624,male,B,aishell3_SSB1624_SSB16240091,9,AISHELL-3,Apache-2.0
SSB1684,male,B,aishell3_SSB1684_SSB16840099,8,AISHELL-3,Apache-2.0
SSB1684,male,B,aishell3_SSB1684_SSB16840113,10,AISHELL-3,Apache-2.0
SSB1684,male,B,aishell3_SSB1684_SSB16840087,11,AISHELL-3,Apache-2.0
SSB1100,male,C,aishell3_SSB1100_SSB11000016,8,AISHELL-3,Apache-2.0
SSB1100,male,C,aishell3_SSB1100_SSB11000354,8,AISHELL-3,Apache-2.0
SSB1100,male,C,aishell3_SSB1100_SSB11000187,9,AISHELL-3,Apache-2.0
SSB0710,male,C,aishell3_SSB0710_SSB07100003,8,AISHELL-3,Apache-2.0
SSB0710,male,C,aishell3_SSB0710_SSB07100340,8,AISHELL-3,Apache-2.0
SSB0710,male,C,aishell3_SSB0710_SSB07100153,9,AISHELL-3,Apache-2.0
SSB0261,male,C,aishell3_SSB0261_SSB02610004,8,AISHELL-3,Apache-2.0
SSB0261,male,C,aishell3_SSB0261_SSB02610231,8,AISHELL-3,Apache-2.0
SSB0261,male,C,aishell3_SSB0261_SSB02610095,9,AISHELL-3,Apache-2.0
SSB0407,male,C,aishell3_SSB0407_SSB04070005,8,AISHELL-3,Apache-2.0
SSB0407,male,C,aishell3_SSB0407_SSB04070265,8,AISHELL-3,Apache-2.0
SSB0407,male,C,aishell3_SSB0407_SSB04070020,9,AISHELL-3,Apache-2.0
SSB0590,male,C,aishell3_SSB0590_SSB05900009,8,AISHELL-3,Apache-2.0
SSB0590,male,C,aishell3_SSB0590_SSB05900260,8,AISHELL-3,Apache-2.0
SSB0590,male,C,aishell3_SSB0590_SSB05900049,9,AISHELL-3,Apache-2.0
SSB0784,male,C,aishell3_SSB0784_SSB07840018,8,AISHELL-3,Apache-2.0
SSB0784,male,C,aishell3_SSB0784_SSB07840240,8,AISHELL-3,Apache-2.0
SSB0784,male,C,aishell3_SSB0784_SSB07840027,9,AISHELL-3,Apache-2.0
SSB0609,male,C,aishell3_SSB0609_SSB06090003,8,AISHELL-3,Apache-2.0
SSB0609,male,C,aishell3_SSB0609_SSB06090258,9,AISHELL-3,Apache-2.0
SSB0609,male,C,aishell3_SSB0609_SSB06090286,10,AISHELL-3,Apache-2.0
SSB0434,male,D,aishell3_SSB0434_SSB04340055,8,AISHELL-3,Apache-2.0
SSB0434,male,D,aishell3_SSB0434_SSB04340108,9,AISHELL-3,Apache-2.0
SSB0434,male,D,aishell3_SSB0434_SSB04340428,9,AISHELL-3,Apache-2.0
